ip,city,country,org,lat,lon
85.209.11.254,Bishkek,KG,AS216358 KSB CB CJSC,42.8700,74.5900
85.209.11.227,Bishkek,KG,AS216358 KSB CB CJSC,42.8700,74.5900
165.232.189.254,Bāshettihalli,IN,"AS14061 DigitalOcean, LLC",13.2257,77.5750
121.146.142.226,Changwon,KR,AS4766 Korea Telecom,35.2281,128.6811
138.197.109.23,Clifton,US,"AS14061 DigitalOcean, LLC",40.8584,-74.1638
89.252.140.220,Denizli,TR,AS51559 Netinternet Bilisim Teknolojileri AS,37.7742,29.0875
218.92.0.56,Shanghai,CN,AS4134 CHINANET-BACKBONE,31.2222,121.4581
39.171.244.80,Hangzhou,CN,AS56041 China Mobile communications corporation,30.2936,120.1614
198.235.24.114,Chang-hua,TW,AS396982 Google LLC,24.0733,120.5628
61.75.76.30,Seoul,KR,AS4766 Korea Telecom,37.5660,126.9784
198.235.24.174,Brussels,BE,AS396982 Google LLC,50.8505,4.3488
167.71.38.185,Frankfurt am Main,DE,"AS14061 DigitalOcean, LLC",50.1155,8.6842
65.49.1.12,San Francisco,US,AS6939 Hurricane Electric LLC,37.7749,-122.4194
164.92.164.19,Frankfurt am Main,DE,"AS14061 DigitalOcean, LLC",50.1155,8.6842
212.70.149.150,Sofia,BG,,42.6975,23.3241
221.160.28.111,Wŏnju,KR,AS4766 Korea Telecom,37.3514,127.9453
218.92.0.29,Shanghai,CN,AS4134 CHINANET-BACKBONE,31.2222,121.4581
141.237.238.207,Thessaloníki,GR,AS3329 VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA,40.6407,22.9349
167.94.146.55,Frankfurt am Main,DE,"AS398705 Censys, Inc.",50.1155,8.6842
141.98.11.11,Vilnius,LT,AS209605 UAB Host Baltic,54.6892,25.2798
198.235.24.221,Brussels,BE,AS396982 Google LLC,50.8505,4.3488
175.215.96.140,Busan,KR,AS4766 Korea Telecom,35.1017,129.0300
218.92.0.22,Shanghai,CN,AS4134 CHINANET-BACKBONE,31.2222,121.4581
218.92.0.107,Shanghai,CN,AS4134 CHINANET-BACKBONE,31.2222,121.4581
14.103.30.207,Shanghai,CN,AS4811 China Telecom (Group),31.2222,121.4581
45.90.97.135,Paris,FR,AS200019 ALEXHOST SRL,48.8534,2.3488
185.161.248.87,Pfofeld,DE,AS216094 Fiber Network WUG GmbH,49.1059,10.8366
137.184.225.55,Santa Clara,US,"AS14061 DigitalOcean, LLC",37.3541,-121.9552
112.185.94.249,Kimhae,KR,AS4766 Korea Telecom,35.2342,128.8811
196.41.15.42,Cape Town,ZA,AS11845 Vox Telecom Ltd,-33.9258,18.4232
121.180.112.140,Suncheon,KR,AS4766 Korea Telecom,34.9505,127.4878
118.121.200.110,Chengdu,CN,AS38283 CHINANET SiChuan Telecom Internet Data Center,30.6667,104.0667
218.150.99.145,Seoul,KR,AS4766 Korea Telecom,37.5660,126.9784
65.49.1.70,San Francisco,US,AS6939 Hurricane Electric LLC,37.7749,-122.4194
141.98.11.90,Vilnius,LT,AS209605 UAB Host Baltic,54.6892,25.2798
198.235.24.84,Chang-hua,TW,AS396982 Google LLC,24.0733,120.5628
218.92.0.27,Shanghai,CN,AS4134 CHINANET-BACKBONE,31.2222,121.4581
39.103.210.172,Beijing,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",39.9075,116.3972
193.105.134.95,Stockholm,SE,AS42237 w1n ltd,59.3833,17.9167
180.101.88.197,Nanjing,CN,AS4134 CHINANET-BACKBONE,32.0617,118.7778
85.209.11.27,Bishkek,KG,AS216358 KSB CB CJSC,42.8700,74.5900
205.210.31.230,São Paulo,BR,AS396982 Google LLC,-23.5475,-46.6361
91.92.254.124,Amsterdam,NL,,52.3740,4.8897
106.75.136.142,Shenzhen,CN,AS58466 CHINANET Guangdong province network,22.5455,114.0683
45.15.158.60,Moscow,RU,AS60042 OnTelecom LLC,55.7520,37.6178
107.170.255.16,San Francisco,US,"AS14061 DigitalOcean, LLC",37.7309,-122.3886
14.103.47.110,Shanghai,CN,AS4811 China Telecom (Group),31.2222,121.4581
64.88.221.110,McAllen,US,"AS14860 SMARTCOM TELEPHONE, LLC",26.2034,-98.2300
162.243.144.27,San Francisco,US,"AS14061 DigitalOcean, LLC",37.7309,-122.3886
45.90.97.43,Paris,FR,AS200019 ALEXHOST SRL,48.8534,2.3488
198.235.24.172,Brussels,BE,AS396982 Google LLC,50.8505,4.3488
143.110.159.86,Santa Clara,US,"AS14061 DigitalOcean, LLC",37.3541,-121.9552
3.141.193.128,Columbus,US,"AS16509 Amazon.com, Inc.",39.9612,-82.9988
107.170.252.38,San Francisco,US,"AS14061 DigitalOcean, LLC",37.7309,-122.3886
104.236.194.175,Clifton,US,"AS14061 DigitalOcean, LLC",40.8584,-74.1638
5.55.176.64,Kallithéa,GR,AS3329 VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA,37.9500,23.7000
71.6.135.131,San Diego,US,"AS10439 CariNet, Inc.",32.7157,-117.1647
61.251.10.14,Daejeon,KR,"AS38684 CMB Daejeon Broadcasting Co,.Ltd",36.3491,127.3849
14.50.77.171,Seosan,KR,AS4766 Korea Telecom,36.7817,126.4522
218.92.0.76,Shanghai,CN,AS4134 CHINANET-BACKBONE,31.2222,121.4581
103.173.254.97,Vinh,VN,,18.6734,105.6923
139.59.23.204,Bāshettihalli,IN,"AS14061 DigitalOcean, LLC",13.2257,77.5750
91.92.251.164,Amsterdam,NL,,52.3740,4.8897
107.170.228.37,San Francisco,US,"AS14061 DigitalOcean, LLC",37.7309,-122.3886
167.248.133.190,Chicago,US,"AS398324 Censys, Inc.",41.8500,-87.6500
205.210.31.202,São Paulo,BR,AS396982 Google LLC,-23.5475,-46.6361
143.110.188.70,Bāshettihalli,IN,"AS14061 DigitalOcean, LLC",13.2257,77.5750
8.137.13.117,Chengdu,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",30.6667,104.0667
67.207.95.230,North Bergen,US,"AS14061 DigitalOcean, LLC",40.8043,-74.0121
61.19.77.146,Kathu,TH,"AS9931 The Communication Authoity of Thailand, CAT",7.9178,98.3332
218.92.0.31,Shanghai,CN,AS4134 CHINANET-BACKBONE,31.2222,121.4581
207.154.232.101,Frankfurt am Main,DE,"AS14061 DigitalOcean, LLC",50.1155,8.6842
170.64.146.188,Sydney,AU,"AS14061 DigitalOcean, LLC",-33.9023,151.1974
64.62.197.221,San Jose,US,AS6939 Hurricane Electric LLC,37.3394,-121.8950
143.110.160.208,London,GB,"AS14061 DigitalOcean, LLC",51.5085,-0.1257
221.161.219.247,Ulsan,KR,AS4766 Korea Telecom,35.5372,129.3167
206.189.224.163,North Bergen,US,"AS14061 DigitalOcean, LLC",40.8043,-74.0121
157.245.154.47,Singapore,SG,"AS14061 DigitalOcean, LLC",1.3215,103.6957
111.9.240.38,Chengdu,CN,"AS9808 China Mobile Communications Group Co., Ltd.",30.6667,104.0667
167.94.138.33,Chicago,US,"AS398324 Censys, Inc.",41.8500,-87.6500
115.231.236.233,Hangzhou,CN,AS58461 CT-HangZhou-IDC,30.2936,120.1614
222.186.16.186,Nanjing,CN,AS4134 CHINANET-BACKBONE,32.0617,118.7778
